web_scraper_order,web_scraper_start_url,pagination,smaak,€dag,eiwit,vet,data,kcal,lijn,vezels,textuur,shop,merk,merk2,fosfor,ca:p,intact,castraat,sensitive2,graanvrij2,bio2,ingr2,fosfor2,sensitive,graanvrij,bio,ingr
1773261189-11,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 1.29,31%,67%,2%,0.96,Kuipje – Luxe Paté,2.1%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-12,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en kabeljauw,€ 1.62,41%,56%,3%,0.76,Kuipje – Luxe Paté,2.4%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-13,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Gevogelte,€ 0.71,40%,55%,5%,0.78,Kuipje – Paté,2.2%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-14,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Konijn,€ 0.71,40%,55%,5%,0.78,Kuipje – Paté,2.2%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-15,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund,€ 0.71,40%,55%,5%,0.78,Kuipje – Paté,2.2%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-16,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm,€ 0.70,38%,59%,3%,0.79,Kuipje – Paté,2.4%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-17,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en cichorei,€ 1.97,40%,57%,3%,0.82,Kuipje – Paté – Bio,2.2%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,J,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-18,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en aloë vera,€ 2.50,44%,53%,3%,0.80,Kuipje – Paté – Bio,2.2%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,2,2,N,J,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-19,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Gevogelte en eend,€ 0.54,35%,51%,14%,0.75,Alexis – Blik – Premium Quality,2.2%,Gelei,Aldi,Aldi,Aldi,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-20,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalkoen en konijn,€ 0.54,35%,51%,14%,0.75,Alexis – Blik – Premium Quality,2.2%,Gelei,Aldi,Aldi,Aldi,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-21,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en kip,€ 0.52,38%,55%,7%,0.78,Alexis – Blik – Premium Quality,2.2%,Paté,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-22,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Wild en lever,€ 0.51,37%,53%,9%,0.80,Alexis – Blik – Premium Quality,2.2%,Paté,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-23,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en forel,€ 0.52,38%,55%,7%,0.78,Alexis – Blik – Premium Quality,2.2%,Paté,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-24,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalf en kip,€ 0.62,44%,53%,4%,0.88,Alexis – Kuipje – High Premium,2.0%,Paté,Aldi,Aldi,Aldi,NB,NB,4,2,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-25,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kalkoen,€ 0.66,42%,51%,7%,0.83,Alexis – Kuipje – High Premium,1.6%,Ragout,Aldi,Aldi,Aldi,NB,NB,4,2,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-26,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 0.66,43%,51%,6%,0.83,Alexis – Kuipje – High Premium,1.6%,Paté,Aldi,Aldi,Aldi,NB,NB,4,2,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-27,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Koolvis,€ 0.68,48%,47%,5%,0.81,Alexis – Kuipje – High Premium,2.1%,Paté,Aldi,Aldi,Aldi,NB,NB,4,2,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-28,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund,€ 0.68,47%,47%,6%,0.81,Alexis – Kuipje – High Premium,1.1%,Paté,Aldi,Aldi,Aldi,NB,NB,4,2,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-29,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en kalkoen,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Land Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-30,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kippenhart en groenten,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Land Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-31,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam en paprika,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Land Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-32,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en lever,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Land Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-33,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kabeljauw en groene bonen,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Sea Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-34,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Makreel en forel,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Sea Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-35,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Tonijn en erwten,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Sea Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-36,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en kabeljauw,€ 1.30,38%,49%,14%,0.79,Juliet Gold – Sea Collection,2.2%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-37,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en kalkoen,€ 0.52,34%,47%,19%,0.73,Lucky Cat – blik,2.8%,Saus,Aldi,Aldi,Aldi,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-38,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en lever,€ 0.52,34%,47%,19%,0.73,Lucky Cat – blik,2.8%,Saus,Aldi,Aldi,Aldi,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-39,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Wild en gevogelte,€ 0.52,34%,47%,19%,0.73,Lucky Cat – blik,2.8%,Saus,Aldi,Aldi,Aldi,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-40,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en forel,€ 0.52,34%,47%,19%,0.73,Lucky Cat – blik,2.8%,Saus,Aldi,Aldi,Aldi,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-41,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Gevogelte en lever,€ 0.61,38%,55%,7%,0.78,Lucky Cat – Pouch – Gelei,2.2%,Gelei,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,2,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg
1773261189-42,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en eend,€ 0.61,38%,55%,7%,0.78,Lucky Cat – Pouch – Gelei,2.2%,Gelei,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-43,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam en kalkoen,€ 0.61,38%,55%,7%,0.78,Lucky Cat – Pouch – Gelei,2.2%,Gelei,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-44,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en kalkoen,€ 0.61,38%,55%,7%,0.78,Lucky Cat – Pouch – Gelei,2.2%,Gelei,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-45,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Gevogelte,€ 0.63,42%,57%,1%,0.75,Lucky Cat – Pouch – Saus,4.4%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-46,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam en kalf,€ 0.63,42%,57%,1%,0.75,Lucky Cat – Pouch – Saus,4.4%,Saus,Aldi,Aldi,Aldi,NB,NB,4,3,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
