combinaties,food_type,expected_matrix_lane,app_primary_profile,app_decision_profile,lane_match,matrix_ids_match,app_matrix_brok_ids,app_matrix_nat_ids,advies_1,advies_2,advies_3,voorbeeld_condities
1,natvoer,balanced,basis,balanced,ja,ja,,MX-10 | MX-11 | MX-12,Prijstip: Bozita Chunks in jelly – Doos 370 gram Kip,"Premium: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie",Luxe: Catz Finefood Classic – Adult – 25 Kip en tonijn,"SC-06434: adult, binnen, castraat=nee, bcs=5, act=gemiddeld, doelen=geen_specifiek_doel"
1,natvoer,balanced,vacht,balanced,ja,ja,,MX-10 | MX-11 | MX-12,Prijstip: Bozita Chunks in jelly – Doos 370 gram Kip,"Premium: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie",Luxe: Catz Finefood Classic – Adult – 25 Kip en tonijn,"SC-06440: adult, binnen, castraat=nee, bcs=5, act=gemiddeld, doelen=vacht"
48,both,hairball,haarbal,hairball,ja,ja,MX-19 | MX-08 | MX-09,MX-10 | MX-11 | MX-12,Prijstip: Feringa Vitaliteit – Hairball Control Zalm,Premium: Carnilove Adult – Hairball Control Eend en fazant,Luxe: Bozita Chunks in jelly – Doos 370 gram Kip,"SC-05871: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal || SC-05877: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal+vacht || SC-05919: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal+ondergewicht"
48,brok,hairball,haarbal,hairball,ja,ja,MX-19 | MX-08 | MX-09,,Prijstip: Feringa Vitaliteit – Hairball Control Zalm,Premium: Carnilove Adult – Hairball Control Eend en fazant,Luxe: Purizon Adult – Cold Pressed Kip met visolie,"SC-05869: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal || SC-05875: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal+vacht || SC-05917: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal+ondergewicht"
48,natvoer,hairball,haarbal,hairball,ja,ja,,MX-10 | MX-11 | MX-12,Prijstip: Bozita Chunks in jelly – Doos 370 gram Kip,"Premium: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie",Luxe: Catz Finefood Classic – Adult – 25 Kip en tonijn,"SC-05870: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal || SC-05876: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal+vacht || SC-05918: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=haarbal+ondergewicht"
288,both,kitten,kitten,kitten,ja,ja,MX-22 | MX-23 | MX-24,MX-25 | MX-26 | MX-27,Prijstip: Josera Kitten – Graanvrij Gevogelte,Premium: Carnilove Kitten – Salmon & Turkey Zalm en kalkoen,Luxe: Bozita Hapjes in saus – Kitten Kip,"SC-00003: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=geen_specifiek_doel || SC-00009: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=vacht || SC-00015: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=haarbal"
1632,both,kitten,kitten,kitten,ja,ja,MX-22 | MX-23 | MX-24,MX-25 | MX-26 | MX-27,Prijstip: Josera Kitten – Graanvrij Gevogelte,Premium: Bozita Hapjes in saus – Kitten Kip,Luxe: Feringa Classic Meat Menu – Kitten Kip en zalm,"SC-00006: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig || SC-00012: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig+vacht || SC-00018: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig+haarbal"
1920,brok,kitten,kitten,kitten,ja,ja,MX-22 | MX-23 | MX-24,,Prijstip: Josera Kitten – Graanvrij Gevogelte,Premium: Carnilove Kitten – Salmon & Turkey Zalm en kalkoen,Luxe: Farmina N&D Prime – Kitten Kip en granaatappel,"SC-00001: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=geen_specifiek_doel || SC-00004: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig || SC-00007: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=vacht"
1920,natvoer,kitten,kitten,kitten,ja,ja,,MX-25 | MX-26 | MX-27,Prijstip: Bozita Hapjes in saus – Kitten Kip,Premium: Feringa Classic Meat Menu – Kitten Kip en zalm,Luxe: Catz Finefood Kitten Gevogelte,"SC-00002: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=geen_specifiek_doel || SC-00005: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig || SC-00008: kitten_0, binnen, castraat=nee, bcs=2, act=inactief, doelen=vacht"
2560,both,senior,senior,senior,ja,ja,MX-21,MX-10 | MX-11 | MX-12,Prijstip: Josera Léger,Premium: Bozita Chunks in jelly – Doos 370 gram Kip,"Luxe: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie","SC-05763: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=geen_specifiek_doel || SC-05766: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig || SC-05769: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=vacht"
2560,brok,senior,senior,senior,ja,ja,MX-21,,Prijstip: Josera Léger,,,"SC-05761: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=geen_specifiek_doel || SC-05764: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig || SC-05767: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=vacht"
2560,natvoer,senior,senior,senior,ja,ja,,MX-10 | MX-11 | MX-12,Prijstip: Bozita Chunks in jelly – Doos 370 gram Kip,"Premium: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie",Luxe: Catz Finefood Classic – Adult – 25 Kip en tonijn,"SC-05762: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=geen_specifiek_doel || SC-05765: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=gevoelig || SC-05768: adult, binnen, castraat=nee, bcs=2, act=inactief, doelen=vacht"
96,both,sensitive,gevoelig,sensitive,ja,ja,MX-07 | MX-08 | MX-09,MX-16 | MX-17 | MX-18,Prijstip: Josera Catelux,Premium: Wild Freedom Adult – Blik – Wide Country (Puur) Kip,"Luxe: Feringa Single Meat – Adult Kip, pompoen en kattenkruid","SC-05862: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig || SC-05868: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+vacht || SC-05874: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+haarbal"
96,brok,sensitive,gevoelig,sensitive,ja,ja,MX-07 | MX-08 | MX-09,,Prijstip: Josera Catelux,Premium: Carnilove Adult – Hairball Control Eend en fazant,Luxe: Purizon Adult – Cold Pressed Kip met visolie,"SC-05860: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig || SC-05866: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+vacht || SC-05872: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+haarbal"
96,natvoer,sensitive,gevoelig,sensitive,ja,ja,,MX-16 | MX-17 | MX-18,Prijstip: Wild Freedom Adult – Blik – Wide Country (Puur) Kip,"Premium: Feringa Single Meat – Adult Kip, pompoen en kattenkruid",Luxe: Catz Finefood Purrr – 103 Kip,"SC-05861: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig || SC-05867: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+vacht || SC-05873: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+haarbal"
896,both,sterilised,overgewicht,sterilised,ja,ja,MX-04 | MX-05 | MX-06,MX-13 | MX-14 | MX-15,Prijstip: Wild Freedom Adult – Sterilised – Wide Country Gevogelte,Premium: Grau Blik – Adult Gevogelte en zeevis,Luxe: Wild Freedom Adult – Blik – Green Lands Lam en kip,"SC-05883: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=overgewicht || SC-05886: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+overgewicht || SC-05889: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=overgewicht+vacht"
96,both,sterilised,sterilised,sterilised,ja,ja,MX-04 | MX-05 | MX-06,MX-13 | MX-14 | MX-15,Prijstip: Wild Freedom Adult – Sterilised – Wide Country Gevogelte,Premium: Carnilove Adult – Hairball Control Eend en fazant,Luxe: Grau Blik – Adult Gevogelte en zeevis,"SC-07299: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=geen_specifiek_doel || SC-07305: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=vacht || SC-07311: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=haarbal"
96,both,sterilised,sterilised,sterilised,ja,ja,MX-04 | MX-05 | MX-06,MX-13 | MX-14 | MX-15,Prijstip: Wild Freedom Adult – Sterilised – Wide Country Gevogelte,Premium: Grau Blik – Adult Gevogelte en zeevis,Luxe: Wild Freedom Adult – Blik – Green Lands Lam en kip,"SC-07302: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=gevoelig || SC-07308: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=gevoelig+vacht || SC-07314: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=gevoelig+haarbal"
896,brok,sterilised,overgewicht,sterilised,ja,ja,MX-04 | MX-05 | MX-06,,Prijstip: Wild Freedom Adult – Sterilised – Wide Country Gevogelte,Premium: Carnilove Adult – Hairball Control Eend en fazant,Luxe: Farmina N&D Prime – Adult Kip en granaatappel,"SC-05881: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=overgewicht || SC-05884: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+overgewicht || SC-05887: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=overgewicht+vacht"
192,brok,sterilised,sterilised,sterilised,ja,ja,MX-04 | MX-05 | MX-06,,Prijstip: Wild Freedom Adult – Sterilised – Wide Country Gevogelte,Premium: Carnilove Adult – Hairball Control Eend en fazant,Luxe: Farmina N&D Prime – Adult Kip en granaatappel,"SC-07297: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=geen_specifiek_doel || SC-07300: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=gevoelig || SC-07303: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=vacht"
896,natvoer,sterilised,overgewicht,sterilised,ja,ja,,MX-13 | MX-14 | MX-15,Prijstip: Grau Blik – Adult Gevogelte en zeevis,Premium: Wild Freedom Adult – Blik – Green Lands Lam en kip,Luxe: GranataPet DeliCatessen Zalm en kalkoen,"SC-05882: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=overgewicht || SC-05885: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=gevoelig+overgewicht || SC-05888: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=overgewicht+vacht"
192,natvoer,sterilised,sterilised,sterilised,ja,ja,,MX-13 | MX-14 | MX-15,Prijstip: Grau Blik – Adult Gevogelte en zeevis,Premium: Wild Freedom Adult – Blik – Green Lands Lam en kip,Luxe: GranataPet DeliCatessen Zalm en kalkoen,"SC-07298: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=geen_specifiek_doel || SC-07301: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=gevoelig || SC-07304: adult, binnen, castraat=ja, bcs=2, act=gemiddeld, doelen=vacht"
